huc12,huc12_name,centroid_xy,comid,nord,to_huc12,outlet_comid,from_huc12s,inlet_comids,outlet_comids,huc10,huc08,in_drb,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_red1,tp_load_red1,tss_load_red1,tn_load_red2,tp_load_red2,tss_load_red2,tn_load_red3,tp_load_red3,tss_load_red3,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3
020402010402,Crafts Creek,[-74.72540008  40.08847377],4481099,68572,020402010404,4481099,,,[4481099],0204020104,02040201,True,3556.2523,19211.092951772283,1645.4247232779644,1958531.0637472689,483.0910442998381,39.918529804784,0.0,0.0,0.0,-41977.22485352756,503.0679804731804,-1326734.810992731,0.0,0.0,0.0,0.0,0.0,0.0,4.145723066500795,1.0654157232000458,302.7422485412278,-41977.22485352756,503.0679804731804,-1326734.810992731,-41977.22485352756,503.0679804731804,-1326734.810992731,-41981.370576594054,502.00256474998037,-1327037.5532412722
020402010403,Martins Creek,[-74.81091257  40.18927519],4481835,68562,020402010404,4481835,,,[4481835],0204020104,02040201,True,2851.5456,16049.373883217015,988.1118231275233,1208306.2586664816,0.0,0.0,0.0,0.0,0.0,-32626.509508782987,104.13268712752327,-1425951.5666135184,0.0,0.0,0.0,0.0,0.0,0.0,13.079721968700099,11.41281581879998,333.43593092664923,-32626.509508782987,104.13268712752327,-1425951.5666135184,-32626.509508782987,104.13268712752327,-1425951.5666135184,-32639.589230751684,92.71987130872327,-1426285.002544445
020402010404,Van Sciver Lake-Delaware River,[-74.75527308  40.15050702],4481837,68570,020402010407,4481837,"['020401050911' '020402010105' '020402010401' '020402010402'
 '020402010403']",[4481949 4481793 4481061 4481099 4481835],[4481837],0204020104,02040201,True,6939.8199,402067.70331971865,63937.63532720094,6242858.90775662,320269.08811652183,61017.27600104072,0.0,0.0,0.0,-36664.11048980322,769.0151571602092,-168146.71586337918,0.0,0.0,0.0,0.0,0.0,0.0,165.51834320159912,162.5302400601985,1096.6782084210517,-36664.11048980322,769.0151571602092,-168146.71586337918,-36664.11048980322,769.0151571602092,-168146.71586337918,-36829.62883300482,606.4849171000106,-169243.3940718003
020402010405,Mill Creek-Silver Lake,[-74.8710113   40.15799421],4481885,68535,020402010407,4481885,,,[4481885],0204020104,02040201,True,5274.0242,42241.804591882414,2332.943991672614,3614134.1001116363,232.23730477256,115.015534197992,0.0,0.0,0.0,-48018.02580689015,582.9809554746221,-1258009.4558483635,0.0,0.0,0.0,0.0,0.0,0.0,126.4241838787996,136.5961305972002,932.7325114370205,-48018.02580689015,582.9809554746221,-1258009.4558483635,-48018.02580689015,582.9809554746221,-1258009.4558483635,-48144.44999076895,446.3848248774219,-1258942.1883598005
020402010406,Assiscunk Creek,[-74.7444438   40.04642228],4481637,76442,020402010407,4481637,,,[4481637],0204020104,02040201,True,11943.1264,71257.91343533038,5827.175008125304,8893319.729378805,4724.68654510347,414.7790746411364,0.0,0.0,0.0,-137335.9407577731,1710.026749484168,-2139740.4389411947,0.0,0.0,0.0,0.0,0.0,0.0,6.324472351188742,1.527111526400165,463.1736334033254,-137335.9407577731,1710.026749484168,-2139740.4389411947,-137335.9407577731,1710.026749484168,-2139740.4389411947,-137342.2652301243,1708.4996379577678,-2140203.6125745983
020402010407,Burlington Island-Delaware River,[-74.85260855  40.09659296],4485575,68274,020402020305,4485575,['020402010303' '020402010404' '020402010405' '020402010406'],[4481917 4481837 4481885 4481637],[4485575 4481919],0204020104,02040201,True,5983.2075,402974.5857357071,52582.05258995266,7284830.083325595,342428.74895320553,49580.620413675715,0.0,0.0,0.0,-41587.515242498484,1146.637851276942,1757542.9948255948,0.0,0.0,0.0,0.0,0.0,0.0,57.98426751829256,24.908311846898762,3549.1783985712564,-41587.515242498484,1146.637851276942,1757542.9948255948,-41587.515242498484,1146.637851276942,1757542.9948255948,-41645.49951001677,1121.7295394300431,1753993.8164270236
020402020101,Headwaters Mount Misery Brook,[-74.44719487  39.89666384],4491008,68188,020402020102,4491008,,,[4491008 4491984],0204020201,02040202,True,7037.7952,12876.422704918861,583.9713659144155,368756.05189336906,0.0,0.0,0.0,0.0,0.0,-107258.74135908113,-1597.7451460855846,-6132759.15386663,0.0,0.0,0.0,0.0,0.0,0.0,0.024885412400031726,0.004246436599990133,2.03647628789804,-107258.74135908113,-1597.7451460855846,-6132759.15386663,-107258.74135908113,-1597.7451460855846,-6132759.15386663,-107258.76624449354,-1597.7493925221845,-6132761.190342919
020402020102,Mount Misery Brook,[-74.51203459  39.92712498],4491946,68141,020402020103,4491946,['020402020101'],[4491008],[4491946],0204020201,02040202,True,12336.2315,23949.24762812085,1463.6584187570877,3903972.3066046583,0.0,0.0,0.8872040053499859,7.150053902699998,291.1231870659103,-186630.22407687915,-2360.5733462429125,-7492238.353095341,0.0,0.0,0.0,0.0,0.0,0.0,0.31385995080050577,0.05093643299998529,28.578363378129325,-186630.22407687915,-2360.5733462429125,-7492238.353095341,-186630.22407687915,-2360.5733462429125,-7492238.353095341,-186630.53793682996,-2360.624282675912,-7492266.931458719
020402020103,Gaunts Brook-North Branch Rancocas Creek,[-74.56470957  39.98002057],4491890,68035,020402020104,4491890,['020402020102'],[4491946],[4491890 4491898],0204020201,02040202,True,12968.7038,41439.27846242035,2812.2764712120993,8390233.275331073,0.0,0.0,0.04514060411997889,0.37446975437999797,15.082385468995199,-179936.49540357967,-1208.0217067879007,-3590255.2951089265,0.0,0.0,0.0,0.0,0.0,0.0,2.742154737599419,0.45127649780010315,231.365591494618,-179936.49540357967,-1208.0217067879007,-3590255.2951089265,-179936.49540357967,-1208.0217067879007,-3590255.2951089265,-179939.23755831725,-1208.472983285701,-3590486.6607004213
020402020104,Powells Run-North Branch Rancocas Creek,[-74.74048136  39.99693144],932040307,68018,020402020302,932040307,['020402020103'],[4491890],[932040307],0204020201,02040202,True,5974.9827,117821.96156147671,15778.555074007987,5046816.272863195,83506.85063419909,13266.162937628349,0.0,0.0,0.0,-67677.84376172237,660.1474993796378,-472872.7453968044,0.0,0.0,0.0,0.0,0.0,0.0,5.885581738579532,1.0535595187999776,496.85165023445916,-67677.84376172237,660.1474993796378,-472872.7453968044,-67677.84376172237,660.1474993796378,-472872.7453968044,-67683.72934346095,659.0939398608378,-473369.59704703884
