huc10,huc10_name,comid,nord,in_drb,huc08,catchment_hectares,tn_load,tp_load,tss_load,tn_load_ps,tp_load_ps,tn_load_avoid,tp_load_avoid,tss_load_avoid,tn_load_xsnps,tp_load_xsnps,tss_load_xsnps,tn_load_red1,tp_load_red1,tss_load_red1,tn_load_red2,tp_load_red2,tss_load_red2,tn_load_red3,tp_load_red3,tss_load_red3,tn_load_rem1,tp_load_rem1,tss_load_rem1,tn_load_rem2,tp_load_rem2,tss_load_rem2,tn_load_rem3,tp_load_rem3,tss_load_rem3
0204010301,West Branch Lackawaxen River,2739836,72986,True,02040103,23880.087,117487.68277416166,13158.299291612677,3769167.042081145,60933.89474138348,5702.731162809201,0.0,0.0,0.0,-351079.2970572218,52.74115880347672,-18291257.328518853,0.0,0.0,0.0,0.0,0.0,0.0,368.3346342002976,289.9470398685993,27831.101614567815,-351079.2970572218,52.74115880347672,-18291257.328518853,-351079.2970572218,52.74115880347672,-18291257.328518853,-351447.63169142214,-237.20588106512255,-18319088.43013342
0204010302,Dyberry Creek,2739540,73127,True,02040103,18119.5018,41915.655229811186,4540.884361311428,1920798.4640335827,590.177497135353,50.2202981101092,0.0,0.0,0.0,-267974.41799332417,-1126.3814947986816,-14817997.298806416,0.0,0.0,0.0,0.0,0.0,0.0,137.48871374770403,102.92564468939992,10354.97918752087,-267974.41799332417,-1126.3814947986816,-14817997.298806416,-267974.41799332417,-1126.3814947986816,-14817997.298806416,-268111.9067070719,-1229.3071394880815,-14828352.277993938
0204010303,Middle Creek,2743080,72880,True,02040103,21286.1586,52289.675370781086,7139.459382994522,3555152.7991841906,5.52676492903517,22.5173937934356,0.0,0.0,0.0,-311070.57869614795,518.2328232010856,-16109000.515495809,0.0,0.0,0.0,0.0,0.0,0.0,198.45649095539653,193.02902178980028,17616.12453032439,-311070.57869614795,518.2328232010856,-16109000.515495809,-311070.57869614795,518.2328232010856,-16109000.515495809,-311269.0351871033,325.2038014112854,-16126616.640026134
0204010304,West Branch Wallenpaupack Creek,2742850,72653,True,02040103,17474.6647,44198.52227477238,5904.054281917412,4968571.25347843,6.21925979060789,1.93500256038949,0.0,0.0,0.0,-254100.22341401823,484.9732223570219,-11174523.99638157,0.0,0.0,0.0,0.0,0.0,0.0,82.78845301859992,80.36789700980104,8464.443597014722,-254100.22341401823,484.9732223570219,-11174523.99638157,-254100.22341401823,484.9732223570219,-11174523.99638157,-254183.01186703684,404.6053253472208,-11182988.439978585
0204010305,Wallenpaupack Creek,2743218,72535,True,02040103,41057.9557,119512.0275176309,10966.478984028983,12070237.493994717,5646.20134710946,482.5497540075385,0.0,0.0,0.0,-586993.4776284785,-2244.037036978556,-25859101.981665283,0.0,0.0,0.0,0.0,0.0,0.0,55.569223684000434,54.834689913199746,7328.296576072629,-586993.4776284785,-2244.037036978556,-25859101.981665283,-586993.4776284785,-2244.037036978556,-25859101.981665283,-587049.0468521626,-2298.8717268917558,-25866430.278241355
0204010306,Lackawaxen River,2741462,72447,True,02040103,32938.8929,82321.35966710252,9523.766676185254,7809564.4923450975,5503.97372549071,2110.360947369789,0.0,0.0,0.0,-485449.5158613882,-2797.651070184535,-22619384.7686749,0.0,0.0,0.0,0.0,0.0,0.0,186.8751642313895,161.48823057919958,13693.698365925136,-485449.5158613882,-2797.651070184535,-22619384.7686749,-485449.5158613882,-2797.651070184535,-22619384.7686749,-485636.3910256196,-2959.1393007637344,-22633078.467040826
0204010401,Mongaup River,4151446,71800,True,02040104,53969.192,115883.49131632081,9260.499039740282,8809432.672031859,5715.144592710723,229.7018157403077,0.0,0.0,0.0,-811085.76071639,-7699.652296000026,-41047306.89756814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-811085.76071639,-7699.652296000026,-41047306.89756814,-811085.76071639,-7699.652296000026,-41047306.89756814,-811085.76071639,-7699.652296000026,-41047306.89756814
0204010402,Basher Kill,4147706,71472,True,02040104,18760.1414,51895.23662316743,2782.3694857330433,2083760.537720816,0.0,0.0,0.0,0.0,0.0,-268340.37707483256,-3033.2743482669566,-15246858.087599183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-268340.37707483256,-3033.2743482669566,-15246858.087599183,-268340.37707483256,-3033.2743482669566,-15246858.087599183,-268340.37707483256,-3033.2743482669566,-15246858.087599183
0204010403,Neversink River,4151522,71291,True,02040104,71595.0978,287989.3215411862,25220.879120976846,13085347.809340699,25224.385312055034,12336.13721170759,0.0293537536200148,0.26290539580000116,11.10806425679857,-959363.3832168689,-9309.738408730746,-53054203.5382993,0.0,0.0,0.0,0.0,0.0,0.0,0.034474996699614735,0.005609681199984173,3.3914878197119833,-959363.3832168689,-9309.738408730746,-53054203.5382993,-959363.3832168689,-9309.738408730746,-53054203.5382993,-959363.4176918656,-9309.744018411946,-53054206.929787114
0204010404,Shahola Creek,4151396,72197,True,02040104,22104.0546,45190.072103454964,2726.73903139301,3016486.9848282654,505.213183805744,506.85604241187104,0.0,0.0,0.0,-332631.3531023508,-4632.373937018861,-17403238.654651735,0.0,0.0,0.0,0.0,0.0,0.0,3.2380489240992434,2.890029826800064,124.98248500185935,-332631.3531023508,-4632.373937018861,-17403238.654651735,-332631.3531023508,-4632.373937018861,-17403238.654651735,-332634.5911512749,-4635.263966845661,-17403363.637136735
0204010405,Halfway Brook-Delaware River,4158256,71290,True,02040104,40053.3299,166093.15306814353,5562.873817626244,5069894.546840411,15.8841794527917,119.68668347250599,0.20873989731978781,1.9093834561999916,79.52920836623434,-517633.0725043093,-6973.345134846262,-31931371.614779588,0.0,0.0,0.0,0.0,0.0,0.0,29.82798154360056,34.620315110600046,50.030700860560785,-517633.0725043093,-6973.345134846262,-31931371.614779588,-517633.0725043093,-6973.345134846262,-31931371.614779588,-517662.9004858529,-7007.965449956862,-31931421.645480447
0204010406,Bush Kill,4151824,70788,True,02040104,40870.4553,83686.84610865978,4136.260498678738,4152252.2981345966,2987.4630290541063,394.24292293965175,94.70893295736998,837.3400581287401,38885.69318356782,-616959.2888913944,-8927.823567260913,-33603874.3080054,0.0,0.0,0.0,0.0,0.0,0.0,29.519743436199228,31.606381227600945,241.03721143255177,-616959.2888913944,-8927.823567260913,-33603874.3080054,-616959.2888913944,-8927.823567260913,-33603874.3080054,-616988.8086348305,-8959.429948488514,-33604115.34521683
0204010407,Raymondskill Creek-Delaware River,4151822,71000,True,02040104,41914.9747,109006.35865877297,7772.91208322882,10383554.559816435,850.2548234096713,60.33605617463896,51.099083500220374,462.9304088435608,21412.280174804262,-607332.5142936367,-5281.066129945819,-28337499.068043564,0.0,0.0,0.0,0.0,0.0,0.0,83.21543375611284,92.89661665219992,845.425282375912,-607332.5142936367,-5281.066129945819,-28337499.068043564,-607332.5142936367,-5281.066129945819,-28337499.068043564,-607415.7297273928,-5373.962746598018,-28338344.49332594
0204010408,Pocono Creek,4154498,70293,True,02040104,29797.8669,109738.43222770888,12730.620582646274,12002086.854316136,27393.572645292512,2907.569601736167,0.0,0.0,0.0,-426304.7284005836,585.7122419101061,-15525182.587903863,0.0,0.0,0.0,0.0,0.0,0.0,196.71618696720012,174.9301540678001,39315.00120347212,-426304.7284005836,585.7122419101061,-15525182.587903863,-426304.7284005836,585.7122419101061,-15525182.587903863,-426501.4445875508,410.78208784230594,-15564497.589107335
0204010409,Broadhead Creek,4154494,70249,True,02040104,44523.7228,123699.2845822349,10060.881506646308,12036938.900446929,9411.533472800098,1713.9008159729995,28.18308065317069,264.2205691608802,13180.044464305667,-645732.1970865652,-5455.373377326692,-29094076.22219307,0.0,0.0,0.0,0.0,0.0,0.0,117.48872669219725,119.92227335759955,2575.523340399146,-645732.1970865652,-5455.373377326692,-29094076.22219307,-645732.1970865652,-5455.373377326692,-29094076.22219307,-645849.6858132574,-5575.295650684291,-29096651.74553347
0204010410,Flat Brook-Delaware River,4154510,70222,True,02040104,32287.8564,164054.3374682268,10926.2923246129,4793072.631357108,51045.88691767333,3875.8353179296355,38.49136479877926,349.42002195894065,16073.048338023007,-438145.2581974466,-2958.7784773167355,-25034449.11096289,0.0,0.0,0.0,0.0,0.0,0.0,25.98367984569368,22.41775042560017,7187.261482926918,-438145.2581974466,-2958.7784773167355,-25034449.11096289,-438145.2581974466,-2958.7784773167355,-25034449.11096289,-438171.2418772922,-2981.1962277423354,-25041636.372445818
0204010501,Paulins Kill River-Delaware River,2586995,69706,True,02040105,45844.4292,348667.145032125,18739.79432791386,14888242.703026688,50347.11337260919,2205.4956639073644,28.3471151266802,254.4375683136602,11262.289355509825,-484244.3747844842,2322.525612006495,-27462840.99193331,12225.801247653199,2476.5392239074804,1236037.6043121875,12270.199910845598,2490.5255378704805,1241443.5029358845,12282.292688668986,2495.3446487046804,1242216.891565394,-496470.1760321374,-154.01361190098524,-28698878.596245497,-496514.5746953298,-167.9999258639854,-28704284.494869195,-496526.6674731532,-172.81903669818493,-28705057.883498702
0204010502,Pequest River-Delaware River,2587861,69673,True,02040105,40558.144,307347.79496756673,17844.063669681203,10343295.01429089,88542.92009903812,3321.095084838043,0.0,0.0,0.0,-473522.6432114714,1949.943944843161,-27124318.41290911,83.2637697791101,23.485982753800013,257.30117403977056,83.2637697791101,23.485982753800013,257.30117403977056,99.26496000381093,35.298288208200205,692.8536623666535,-473605.9069812505,1926.457962089361,-27124575.71408315,-473605.9069812505,1926.457962089361,-27124575.71408315,-473621.9081714752,1914.645656634961,-27125011.266571477
0204010503,Bushkill Creek-Delaware River,2588259,69534,True,02040105,20683.5795,299933.72156313295,32138.631234329783,13534720.74160822,27937.08740738497,10617.958313494688,5.483225031301572,51.047293837660135,2037.348167899996,-81072.06790925203,15108.763275835094,-5572770.00049178,0.0,0.0,0.0,0.0,0.0,0.0,505.69284711389713,509.35932529820775,16859.621001688203,-81072.06790925203,15108.763275835094,-5572770.00049178,-81072.06790925203,15108.763275835094,-5572770.00049178,-81577.76075636593,14599.403950536886,-5589629.621493468
0204010504,Pohatcong Creek-Delaware River,2588067,69479,True,02040105,14819.6167,199104.2234345052,15623.72081939077,9434677.45708646,10747.516679095752,1892.8470569992178,0.0,0.0,0.0,-64614.150313590566,9136.792585391553,-4255684.450373538,571.5900507003029,294.10031891500023,132785.7922768988,571.5900507003029,294.10031891500023,132785.7922768988,579.4801951156888,299.95591904900016,133242.48983390094,-65185.74036429086,8842.692266476552,-4388470.242650437,-65185.74036429086,8842.692266476552,-4388470.242650437,-65193.63050870626,8836.836666342551,-4388926.940207439
0204010505,Musconetcong River,2588261,69326,True,02040105,40285.8985,526651.341796024,24538.213146935625,24714275.33070064,179592.33561462886,2669.5012191772585,29.38361587422896,268.6325187413994,11963.545489466505,-340621.28121360485,9380.083392758366,-12501837.70359936,5399.606927721292,2672.6461512885985,2101100.7788125994,5431.477215481891,2686.9876138489985,2105430.7364141685,5447.496740109303,2695.5018309391985,2107046.781034233,-346020.88814132614,6707.437241469767,-14602938.482411958,-346052.75842908677,6693.095778909367,-14607268.440013528,-346068.7779537142,6684.581561819167,-14608884.484633593
0204010506,Upper Delaware River,2588483,69309,True,02040105,56325.0289,899494.159393696,80767.45599400924,31722269.63262525,185638.3985372737,37851.655927821106,14.96981863774181,138.34384420599957,5653.5079849470785,-247612.4824665777,25455.041107188143,-20310792.065194752,974.740622022498,531.8938139248022,218958.87230602122,1232.2524472818964,682.5016885472021,267000.6878306542,1661.287385178685,1116.9101829918034,290558.66864769405,-248587.22308860018,24923.14729326334,-20529750.93750077,-248844.73491385957,24772.53941864094,-20577792.753025405,-249273.76985175637,24338.13092419634,-20601350.733842444
0204010507,Tohickon Creek-Delaware River,2591253,69085,True,02040105,28982.1581,214621.0340106301,22030.79173286961,12279472.606952282,69114.29968217966,2148.0340458467062,0.0,0.0,0.0,-349218.7044385496,10898.288676022903,-14494245.045827717,0.0,0.0,0.0,0.0,0.0,0.0,738.0762531586893,809.5630550351998,27164.64922630309,-349218.7044385496,10898.288676022903,-14494245.045827717,-349218.7044385496,10898.288676022903,-14494245.045827717,-349956.78069170826,10088.725620987703,-14521409.695054019
0204010508,Assunpink Creek-Delaware River,2590137,68820,True,02040105,23812.6822,437723.86659580586,45565.97970642208,29168354.34971634,189682.06059175293,30482.78672309219,0.0,0.0,0.0,-158440.6791499471,7701.261501329885,7170198.533356341,0.0,0.0,0.0,0.0,0.0,0.0,40.932039163009094,6.9493252247996455,3554.2225055440695,-158440.6791499471,7701.261501329885,7170198.533356341,-158440.6791499471,7701.261501329885,7170198.533356341,-158481.6111891101,7694.312176105084,7166644.310850796
0204010509,Lower Delaware River,4481949,68818,True,02040105,80403.2553,510239.8538687217,54748.07373101822,44638930.179539114,23437.933160827324,3968.226640295594,0.0,0.0,0.0,-885681.6472631056,25854.837947722634,-29637597.066600885,123.69012363360025,42.640035319599036,6203.8204983430915,123.69012363360025,42.640035319599036,6203.8204983430915,933.6645530760973,859.0937825525998,68468.0102050905,-885805.3373867392,25812.197912403033,-29643800.88709923,-885805.3373867392,25812.197912403033,-29643800.88709923,-886615.3118161818,24995.744165170032,-29706065.076805975
0204010601,Tobyhanna Creek,4185711,75896,True,02040106,33390.0289,95536.49955048278,8893.761918710275,7576673.413206598,16573.666509564948,3392.2305854335605,4.504410393740045,40.978644044880404,1871.6250870197982,-491004.9602820822,-4849.377625723285,-23269035.2846134,0.0,0.0,0.0,0.0,0.0,0.0,72.7733490101982,77.01280956979885,1339.7658163541419,-491004.9602820822,-4849.377625723285,-23269035.2846134,-491004.9602820822,-4849.377625723285,-23269035.2846134,-491077.73363109236,-4926.390435293084,-23270375.050429754
0204010602,Upper Lehigh River,4186549,75819,True,02040106,47297.2402,120225.37520209768,10776.056547369166,9356807.002371425,18354.33275430325,3127.9390513012786,27.472711921701038,247.05368910246034,11481.269508554924,-705492.8477662056,-7014.026965932113,-34336383.49438857,0.0,0.0,0.0,0.0,0.0,0.0,1.5730688923991512,0.6055912928000593,135.40880115220534,-705492.8477662056,-7014.026965932113,-34336383.49438857,-705492.8477662056,-7014.026965932113,-34336383.49438857,-705494.420835098,-7014.632557224913,-34336518.903189726
0204010603,Middle Lehigh River,4188171,75528,True,02040106,82154.5679,313397.7819885449,28567.65556920095,16267952.28852025,31334.620902162515,7450.398128676108,1.1251927133700974,10.186972765800004,487.45110440588905,-1120315.3129666175,-4350.658608475159,-59626437.53749975,0.0,0.0,0.0,0.0,0.0,0.0,260.6884586505882,248.32144891440106,36526.040648231276,-1120315.3129666175,-4350.658608475159,-59626437.53749975,-1120315.3129666175,-4350.658608475159,-59626437.53749975,-1120576.0014252681,-4598.980057389561,-59662963.57814798
0204010604,Pohopoco Creek,4187389,75395,True,02040106,28715.2626,96632.02147648751,11634.315064405493,9606471.470293237,118.1949500433778,55.98166573877437,0.0,0.0,0.0,-393655.70605555584,2676.6019926667186,-16920688.119586762,0.0,0.0,0.0,0.0,0.0,0.0,319.2387695726983,289.7495586024007,73327.4185052027,-393655.70605555584,2676.6019926667186,-16920688.119586762,-393655.70605555584,2676.6019926667186,-16920688.119586762,-393974.9448251286,2386.852434064318,-16994015.538091965
