huc10,huc10_name,huc08,catchment_hectares,maflowv_net,tn_load_net,tp_load_net,tss_load_net,tn_load_ps_net,tp_load_ps_net,tn_load_xsnps_net,tp_load_xsnps_net,tss_load_xsnps_net,tn_load_red1_net,tp_load_red1_net,tss_load_red1_net,tn_load_red2_net,tp_load_red2_net,tss_load_red2_net,tn_load_red3_net,tp_load_red3_net,tss_load_red3_net,tn_load_rem1_net,tp_load_rem1_net,tss_load_rem1_net,tn_load_rem2_net,tp_load_rem2_net,tss_load_rem2_net,tn_load_rem3_net,tp_load_rem3_net,tss_load_rem3_net
0204010505,Musconetcong River,02040105,6564.488600000001,301.985,519898.40366472944,19830.709622096037,20462285.6211227,176700.02566554598,2259.3054146855693,0.0,4652.09543241493,0.0,5388.691567584174,2560.8810833566586,2053379.8975738436,5420.254527494544,2572.4915436758,2057276.079064712,5436.073162124958,2580.1741126331945,2058724.4235954434,0.0,2557.2304606098696,0.0,0.0,2558.027961924243,0.0,0.0,2553.1351993389744,0.0
0204010506,Upper Delaware River,02040105,1329.5938,3102.596999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010507,Tohickon Creek-Delaware River,02040105,1584.9877999999999,191.874,209429.3303409253,15515.399107071831,9742062.056880686,66766.01534611773,1367.9443745111819,0.0,2551.058940818949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.8150768865162,627.2563350022655,24488.222725301748,0.0,2551.058940818949,0.0,0.0,2551.058940818949,0.0,0.0,2183.2279036843624,0.0
0204010508,Assunpink Creek-Delaware River,02040105,1821.5193,159.979,431385.59234872676,38375.42925513392,23487168.698751602,189053.3467014224,29209.019754785564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.211201703874394,4.747709184220184,2945.302512994036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010509,Lower Delaware River,02040105,3128.7787,432.1450000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010601,Tobyhanna Creek,02040106,575.9361,307.147,91826.22720194723,3697.003831634582,4835355.513010995,15616.689160038883,801.0421849255061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.70432771672495,43.7839905208175,1098.2620962206274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010602,Upper Lehigh River,02040106,1132.9,407.96900000000005,112362.93833482181,6206.453563318833,7259599.754569747,17155.699918837126,1860.7649868987605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9997321128612384,0.26305146534181745,120.55224800377619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010603,Middle Lehigh River,02040106,6057.9311,675.6610000000002,303217.42892024084,18251.48297106599,11419287.329797357,30282.250501441522,5612.6520291713,0.0,947.7190735847704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.3082466199994,191.31162011066044,34833.02042060159,0.0,947.7190735847704,0.0,0.0,947.7190735847704,0.0,0.0,804.4424831216915,0.0
0204010604,Pohopoco Creek,02040106,1530.9505,197.714,95486.09280890645,9076.344425408992,8386882.560706813,117.71939348496393,38.45740753084612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0810264144093,220.41943415224796,62315.08676796034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010605,Aquashicola Creek,02040106,684.1243999999999,162.572,95759.15100970482,11600.603569727906,6659176.773153966,28099.11417821418,2385.24747417327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.8207062504953,241.08539034362093,59178.470387749374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204010606,Jordan Creek,02040106,2823.7945999999997,133.32,337290.28436211456,30676.20871365082,19530118.02800056,12712.720214482157,5659.170470016174,0.0,14294.787603771862,0.0,0.0,0.0,0.0,250.10233249835437,25.476591335016565,12134.89485467039,730.4237515890563,497.9370796164567,108767.8804310374,0.0,14294.787603771862,0.0,0.0,14269.311012436845,0.0,0.0,13796.850524155405,0.0
0204010607,Little Lehigh Creek,02040106,1004.3627,138.204,415346.55973233364,29969.19853989865,24611716.185415458,14236.08707549594,447.8764270297118,0.0,18517.080010368016,307335.44117824547,428.7840279865777,204.35939914755,111202.15528416354,428.7840279865777,204.35939914755,111202.15528416354,754.3958986409416,470.0058888154108,160031.93330055848,0.0,18316.790971965085,308443.89457972907,0.0,18317.25494273723,308554.4060061518,0.0,18047.074121552603,303968.77925780416
0204010608,Lower Lehigh River,02040106,17192.225599999998,915.8950000000004,1077618.8451371551,119948.2600003076,50587820.50001498,202024.761956324,50801.97962057613,0.0,33146.373011930234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.8971448302436,1009.3064880417995,122743.51057704425,0.0,33146.373011930234,0.0,0.0,33146.373011930234,0.0,0.0,32137.06652388844,0.0
0204020101,Crosswicks Creek,02040201,224.7381,358.44899999999996,497181.83274277044,16785.658213923518,27809445.427899454,23318.41724722409,2118.5056314413782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.58923387544928,4.710854436666978,2586.082367958501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020102,Upper Neshaminy Creek,02040201,1084.9827,136.418,199018.75491560096,16164.382385533945,15944660.949235136,47711.31618693232,5216.263160313502,0.0,2289.143551342676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.1832720242091,457.8229343381807,20172.373186888755,0.0,2289.143551342676,0.0,0.0,2289.143551342676,0.0,0.0,2012.8483228201394,0.0
0204020103,Lower Neshaminy Creek,02040201,904.5864,240.04599999999996,262675.28370641026,11791.099218674764,17688786.360243745,34905.64542787695,3570.5919173558495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.7705146726803,323.1191517041399,13032.471118457615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020104,Assiscunk Creek-Delaware River,02040201,1436.7885,202.62699999999887,245326.64402858284,16015.883022037604,17607348.056675635,73633.34700430433,6000.703294438371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.09082970358577,135.9940135269319,2008.3977303355932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020201,North Branch Rancocas Creek,02040202,2328.1098,219.638,196275.1169347587,11800.625241163565,9638877.674670149,81802.99102660628,8370.230287430637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.624582396572805,0.9033637196419022,537.9680949649774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020202,South Branch Rancocas Creek,02040202,183.45409999999998,232.433,230058.0764618331,7089.227056529374,17181903.24898922,75837.24492374122,2040.52021842522,0.0,0.0,0.0,0.03595901594962925,0.008174675600685077,48.59702762053348,0.03595901594962925,0.008174675600685077,48.59702762053348,16.320507576921955,1.1715205664550012,879.6983201764524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020203,Pennypack Creek-Rancocas Creek,02040202,2802.1581,185.59899999999993,593765.2916195721,16172.720238196363,26043868.8932213,173160.5150651573,4444.508553433286,0.0,644.9937693010676,0.0,154.6610918501392,37.45898059835429,41656.103801506106,154.6610918501392,37.45898059835429,41656.103801506106,307.0106024501001,139.77900104880956,46175.20792882657,0.0,647.7478510596972,0.0,0.0,647.7478510596972,0.0,0.0,571.8992580397503,0.0
0204020204,Cooper River-Delaware River,02040202,2181.2991,264.71299999999894,684981.8180608454,24886.81077962738,29792350.45958448,100009.58353434288,11783.214999006912,210169.88835700633,2271.2942763404917,121390.75283995533,277.59753898132476,116.85133325257539,73367.14815526828,277.59753898132476,116.85133325257539,73367.14815526828,352.0970781358774,152.3338840676223,77376.08177788297,209892.290818025,2154.4429430879163,121390.75283995533,209892.290818025,2154.4429430879163,121390.75283995533,209849.40555513385,2122.94816713611,120097.64019779218
0204020205,Darby Creek-Mantua Creek,02040202,4455.3580999999995,302.6150000000028,1559133.1172349118,60746.12611805221,37697966.49494153,1085639.3701865287,51593.51032086828,0.0,0.0,0.0,242.18038713480928,43.73609472899102,29071.655344157014,447.4392962808197,65.44139463819329,46633.1773097394,585.7599222540302,82.20923807938777,50853.29737837985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020206,Raccoon Creek-Delaware River,02040202,3925.6539000000002,387.8689999999975,410690.82432766736,44514.951666943474,33939549.233143665,126559.647809523,29186.878886244194,0.0,131.12657322290445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.2377948111206,412.257742985032,13524.576753496283,0.0,131.12657322290445,0.0,0.0,131.12657322290445,0.0,0.0,105.21901057297713,0.0
0204020301,Little Schuylkill River,02040203,642.8232,285.482,426387.99891739653,27925.74701847891,10692888.975994416,81738.31657650412,11773.738556272549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.41945708123967,102.46938658396084,29450.530843898654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020302,Upper Schuylkill River,02040203,4705.6802,228.662,232366.36943759513,20127.557879598226,6281816.659621294,55407.47301901338,8185.6035406051815,0.0,1341.4774215885134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.37017297816055,214.91147498279952,37511.42954965774,0.0,1341.4774215885134,0.0,0.0,1341.4774215885134,0.0,0.0,1215.4269439140176,0.0
0204020303,Maiden Creek,02040203,3581.2422,354.692,1178404.421446054,79944.71960264917,33982033.64296487,34251.687016213764,3877.5494099041325,21715.974842949712,47541.09365543474,0.0,9502.728749668808,3038.872300118848,409014.609625265,9502.728749668808,3038.872300118848,409014.609625265,10298.253813000687,3728.516020884421,507364.0869622305,19672.933282244485,44644.02033315543,0.0,19672.933282244485,44644.02033315543,0.0,19529.335545936716,43949.309324893926,0.0
0204020304,Tulpehocken Creek,02040203,1621.9431,347.872,2422606.5396296615,147988.06108017493,41136512.1594502,924012.3516342917,77701.48251616083,295204.93438625126,50581.1004025134,945776.5984419642,10989.118177501725,3191.334429181638,1913306.75219303,10989.118177501725,3191.334429181638,1913306.75219303,11948.276089378654,3935.676273556132,2025671.1219657948,293453.1413275102,47389.76597333176,980824.304539148,293453.1413275102,47389.76597333176,980824.304539148,292958.5379777031,46645.42412895727,957945.6720639782
0204020305,Manatawny Creek,02040203,250.02360000000002,139.274,303570.53327883326,25296.110184238532,13420047.471258286,3383.7238396554153,1071.437380329208,0.0,13023.572176724734,0.0,642.3097844907898,123.0883168091168,2604.111530682072,642.3097844907898,123.0883168091168,2604.111530682072,856.2463929750375,337.0696881793392,31045.601334711537,0.0,12900.483859915617,0.0,0.0,12900.483859915617,0.0,0.0,12686.502488545395,0.0
0204020306,Middle Schuylkill River,02040203,6647.4403999999995,665.7560000000001,3492209.307813428,152556.69181929162,48290194.107143626,1547003.5770988574,94131.82294996009,0.0,20084.34697558485,0.0,10798.185481273827,1391.4733943464612,1483428.3173777563,10798.185481273827,1391.4733943464612,1483428.3173777563,12337.252245070013,2169.088338634915,1623644.74262224,0.0,20027.490952282427,0.0,0.0,20027.490952282427,0.0,0.0,19601.940618014698,0.0
0204020307,French Creek,02040203,369.263,107.005,250914.83629999615,12302.591385816786,7559297.155627267,29.85930379634002,47.46438637177333,0.0,3649.2581896751553,0.0,555.7550698639825,180.6550084436235,33991.3005093243,555.7550698639825,180.6550084436235,33991.3005093243,779.7892813974468,390.9870757434951,47039.6149531547,0.0,3468.603181231532,0.0,0.0,3468.603181231532,0.0,0.0,3258.2711139316602,0.0
0204020308,Perkiomen Creek,02040203,1913.7456,604.067,1451626.2773003653,121878.42327812593,71325689.026732,756076.9426239615,68029.93644956482,0.0,16443.38685552337,0.0,181.36621893160918,44.757180906718986,29857.56857940927,181.36621893160918,44.757180906718986,29857.56857940927,2616.4884512582503,1735.3122712404647,228371.00278228195,0.0,16398.629674616648,0.0,0.0,16398.629674616648,0.0,0.0,14885.596259362392,0.0
0204020309,Wissahickon Creek,02040203,880.9425,108.829,190898.54055021377,12518.877338375294,13846266.717550399,85304.91342751517,5951.788075504461,0.0,0.0,0.0,483.06512851448497,122.35544462080179,125162.60363634676,483.06512851448497,122.35544462080179,125162.60363634676,557.7555493108812,180.34267220736547,130033.0629439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020310,Lower Schuylkill River,02040203,5516.6041,447.51900000000074,1274825.9101660205,52650.11737108251,33978010.559057884,245765.54709430342,33613.91845971533,384514.7118501775,6429.431492376983,11073700.222266734,854.8576256772649,56.79295063458164,95227.38743090676,854.8576256772649,56.79295063458164,95227.38743090676,1908.139496060714,621.3486316521034,108778.04219418205,384116.9241215894,6372.638541742402,10993473.627997339,384116.9241215894,6372.638541742402,10993473.627997339,383979.62517048325,5945.197028892362,10998699.825105906
0204020400,Delaware Bay-Deep,02040204,116.7293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020501,East Branch Brandywine Creek,02040205,377.1882,199.656,728878.3880001153,24424.522732725905,13913831.259323321,250459.81629522704,11937.423152897254,0.0,2675.0890160401827,0.0,58.11613625509199,11.855201856909389,10470.84343509376,58.11613625509199,11.855201856909389,10470.84343509376,568.5005378460628,361.8846725956404,23779.241972245276,0.0,2663.2338141832734,0.0,0.0,2663.2338141832734,0.0,0.0,2334.3860190723126,0.0
0204020502,West Branch Brandywine Creek,02040205,735.5070000000001,215.822,721802.8967655285,33455.967536927026,19089827.085484397,46965.30061949096,5745.617416565821,0.0,13313.967330547242,0.0,7711.9774179281085,1687.7251847659163,3555657.3326709215,7711.9774179281085,1687.7251847659163,3555657.3326709215,8936.312651390297,2589.370488868957,3727769.471674105,0.0,11626.242145781325,0.0,0.0,11626.242145781325,0.0,0.0,10724.596841678285,0.0
0204020503,White Clay Creek,02040205,2987.7933,237.15300000000002,598991.1959020285,26530.203971072944,24498279.710198894,18793.227252236782,3471.405405692558,0.0,8933.729041009012,0.0,7691.014544308919,2783.4426589993623,2008465.8862906657,7691.014544308919,2783.4426589993623,2008465.8862906657,8323.03643282121,3331.0034065596083,2055438.025300163,0.0,6150.286382009649,0.0,0.0,6150.286382009649,0.0,0.0,5602.7256344494035,0.0
0204020504,Brandywine Creek,02040205,1669.9674,110.94199999999995,130334.29862385476,0.0,799190.7617671117,1992.4940817565657,0.0,0.0,0.0,0.0,615.5720337016974,0.0,0.0,615.5720337016974,0.0,0.0,694.0024515063542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020505,Christina River,02040205,2911.4925,105.80600000000003,185839.3275491944,6473.303513244851,5146706.040612439,44384.45879212683,3135.3944964829407,0.0,556.8900012801752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.83240578781988,7.4477897277289316,386.3897393764928,0.0,556.8900012801752,0.0,0.0,556.8900012801752,0.0,0.0,549.4422115524462,0.0
0204020506,Shellpot Creek-Delaware River,02040205,1115.5139,25.609,48497.883577595814,2949.566436027679,2731436.212213577,20667.238356255104,1561.0307076752824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020507,C&D Canal - Red Lion Creek,02040205,3845.1102,18942.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0204020508,Appoquinimink River-Delaware River,02040205,2361.4706,112.17100000000002,133006.8462887265,472.5684007967178,2733780.0807227744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
