"comid","in_drb","huc08"
9442601,f,"02040301"
9442603,f,"02040301"
9442605,f,"02040301"
9442607,f,"02040301"
9442609,f,"02040301"
9442611,f,"02040301"
9442613,f,"02040301"
9442615,f,"02040301"
9442617,f,"02040301"
9442619,f,"02040301"
9442621,f,"02040301"
9442623,f,"02040301"
9442625,f,"02040301"
9442627,f,"02040301"
9442629,f,"02040301"
9442631,f,"02040301"
9442633,f,"02040301"
9442635,f,"02040301"
9442637,f,"02040301"
9442639,f,"02040301"
9442641,f,"02040301"
9442643,f,"02040301"
9442645,f,"02040301"
9442647,f,"02040301"
9442649,f,"02040301"
9442651,f,"02040301"
9442653,f,"02040301"
9442655,f,"02040301"
9442657,f,"02040301"
9442659,f,"02040301"
9442661,f,"02040301"
9442663,f,"02040301"
9443475,f,"02040301"
9443481,f,"02040301"
9443483,f,"02040301"
9443497,f,"02040301"
9443559,f,"02040301"
9443565,f,"02040301"
9443567,f,"02040301"
9443587,f,"02040301"
9443589,f,"02040301"
9443591,f,"02040301"
9443593,f,"02040301"
9443599,f,"02040301"
9443609,f,"02040301"
9443659,f,"02040301"
9443661,f,"02040301"
9443663,f,"02040301"
9443665,f,"02040301"
9443669,f,"02040301"
9443695,f,"02040301"
9443697,f,"02040301"
9443717,f,"02040301"
9443719,f,"02040301"
9443721,f,"02040301"
9443723,f,"02040301"
9443725,f,"02040301"
9443733,f,"02040301"
9443735,f,"02040301"
9443737,f,"02040301"
9443745,f,"02040301"
9443749,f,"02040301"
9443753,f,"02040301"
9443757,f,"02040301"
9443759,f,"02040301"
9443761,f,"02040301"
9443763,f,"02040301"
9443765,f,"02040301"
9443767,f,"02040301"
9443771,f,"02040301"
9443773,f,"02040301"
9443775,f,"02040301"
9443777,f,"02040301"
9443779,f,"02040301"
9443781,f,"02040301"
9443783,f,"02040301"
9443785,f,"02040301"
9443787,f,"02040301"
9443789,f,"02040301"
9443791,f,"02040301"
9443793,f,"02040301"
9443897,f,"02040301"
9443903,f,"02040301"
9443911,f,"02040301"
9443913,f,"02040301"
9443915,f,"02040301"
9443917,f,"02040301"
9443919,f,"02040301"
9443921,f,"02040301"
9443923,f,"02040301"
9443925,f,"02040301"
9443927,f,"02040301"
9443929,f,"02040301"
9443935,f,"02040301"
9443955,f,"02040301"
9443975,f,"02040301"
9443979,f,"02040301"
9443981,f,"02040301"
9443983,f,"02040301"
9443991,f,"02040301"
9444011,f,"02040301"
9444025,f,"02040301"
9444103,f,"02040301"
9444107,f,"02040301"
9444113,f,"02040301"
9444117,f,"02040301"
9444119,f,"02040301"
9444123,f,"02040301"
9444129,f,"02040301"
9444135,f,"02040301"
9444141,f,"02040301"
9444143,f,"02040301"
9444157,f,"02040301"
9444159,f,"02040301"
9444165,f,"02040301"
9444171,f,"02040301"
9444185,f,"02040301"
9444193,f,"02040301"
9444195,f,"02040301"
9444197,f,"02040301"
9444205,f,"02040301"
9444207,f,"02040301"
9444213,f,"02040301"
9444219,f,"02040301"
9444221,f,"02040301"
9444231,f,"02040301"
9444239,f,"02040301"
9444245,f,"02040301"
9444247,f,"02040301"
9444257,f,"02040301"
9444259,f,"02040301"
9444263,f,"02040301"
9444265,f,"02040301"
9444269,f,"02040301"
9444273,f,"02040301"
9444275,f,"02040301"
9444277,f,"02040301"
9444279,f,"02040301"
9444281,f,"02040301"
9444283,f,"02040301"
9444285,f,"02040301"
9444363,f,"02040301"
9444401,f,"02040301"
9444403,f,"02040301"
9444419,f,"02040301"
9444439,f,"02040301"
9444443,f,"02040301"
9444453,f,"02040301"
9444471,f,"02040301"
